ZCTA5CE20,lon,lat,bw,bs,be,bn
63841,-89.969768,36.767166,-90.1295,36.6839,-89.8609,36.8876
63461,-91.594858,39.807015,-91.7055,39.6853,-91.3616,39.9082
25839,-81.367098,37.787843,-81.4077,37.7544,-81.3489,37.8032
25868,-80.948297,38.066446,-81.0386,38.0318,-80.9164,38.1101
16694,-78.129183,40.186069,-78.1526,40.1456,-78.1002,40.2008
12503,-73.584709,42.037542,-73.6327,41.9865,-73.526,42.0813
10035,-73.921942,40.792952,-73.9471,40.781,-73.9137,40.8096
10567,-73.878364,41.276313,-73.9805,41.2354,-73.8355,41.3344
14548,-77.270174,42.972878,-77.3263,42.9216,-77.1576,43.0244
12116,-74.912774,42.538489,-74.9914,42.4628,-74.8442,42.6234
93705,-119.828485,36.786695,-119.8529,36.7647,-119.8086,36.8083
51548,-95.624175,41.316542,-95.718,41.2751,-95.5748,41.3616
66710,-95.645311,37.552589,-95.7198,37.4717,-95.5613,37.6458
67519,-99.109327,37.936683,-99.1872,37.8393,-99.0219,38.0436
63056,-91.224434,38.364395,-91.2966,38.2782,-91.1343,38.5054
64742,-94.543288,38.50033,-94.6133,38.4067,-94.444,38.5802
12513,-73.723859,42.222136,-73.7414,42.1981,-73.681,42.2359
12526,-73.859383,42.122351,-73.9216,42.0597,-73.7986,42.192
19014,-75.426108,39.855229,-75.4698,39.8341,-75.3864,39.8939
19021,-74.893852,40.088743,-74.9148,40.0702,-74.8695,40.1054
19031,-75.217468,40.108283,-75.242,40.0887,-75.1978,40.1274
61880,-88.243997,39.980557,-88.3687,39.8797,-88.1592,40.0398
61943,-88.011972,39.643317,-88.1163,39.5707,-87.9368,39.7687
61422,-90.531129,40.550843,-90.6373,40.4896,-90.4464,40.5871
29609,-82.391142,34.912472,-82.4372,34.8586,-82.3325,34.9684
68071,-96.433923,42.23692,-96.6483,42.1767,-96.3228,42.2777
16022,-79.732241,41.053742,-79.7441,41.0454,-79.7222,41.0678
65632,-92.782923,37.505895,-92.9859,37.4044,-92.6297,37.5688
98029,-122.004861,47.557026,-122.0731,47.5316,-121.9671,47.5876
98660,-122.737657,45.681705,-122.7745,45.6181,-122.6648,45.7862
19040,-75.100724,40.174486,-75.1396,40.1533,-75.0734,40.2118
37377,-85.338895,35.212422,-85.4438,35.1057,-85.2331,35.3089
43532,-83.984047,41.452396,-84.0765,41.4042,-83.8736,41.4976
33618,-82.500769,28.070882,-82.5234,28.0331,-82.4746,28.1192
38542,-85.201126,36.315512,-85.2253,36.298,-85.18,36.3303
19533,-75.987766,40.42495,-76.0401,40.3663,-75.9387,40.4821
18354,-75.329119,40.924723,-75.3623,40.9106,-75.2897,40.9377
04090,-70.633571,43.326706,-70.7242,43.2601,-70.5367,43.3912
98374,-122.265831,47.12916,-122.294,47.0782,-122.2124,47.1717
38392,-89.046487,35.457924,-89.0881,35.3854,-88.9673,35.5306
27612,-78.70628,35.8409,-78.759,35.8153,-78.6505,35.8842
22737,-77.982432,38.602645,-78.1006,38.5421,-77.8946,38.6493
66724,-94.864065,37.349248,-94.9229,37.296,-94.796,37.4122
65614,-92.885654,36.737425,-92.9849,36.6341,-92.7667,36.8536
34756,-81.682144,28.586496,-81.7267,28.5531,-81.6481,28.6217
44859,-82.324086,41.024382,-82.4078,40.958,-82.2598,41.074
04105,-70.294925,43.754721,-70.3589,43.6856,-70.186,43.8103
04015,-70.522467,43.966878,-70.5806,43.8715,-70.448,44.0426
04624,-67.988833,44.424379,-68.0136,44.3844,-67.9588,44.5001
04733,-68.40465,45.732881,-68.498,45.6678,-68.3218,45.8534
37312,-84.904007,35.22197,-84.9826,35.1666,-84.7612,35.2992
